Не	не=PRCL	не=PRCL
столь	столь=ADVB
%	%=UNKN
,	,=PNCT
где-то	где-то=ADVB
на	на=PREP
90	90=UNKN
%	%=UNKN
(	(=PNCT
СинТЗ	синтз=UNKN
)	)=PNCT
.	.=PNCT

—	—=UNKN
комментирует	комментирую=VERB,impf,tran,sing,3per,pres,indc
председатель	председатель=NOUN,anim,masc,sing,nomn
комитета	комитет=NOUN,inan,masc,sing,gent
автопроизводителей	автопроизводитель=NOUN,inan,masc,plur,gent
АЕБ	аеб=UNKN
Дэвид	дэвид=NOUN,anim,masc,Name,sing,nomn
Томас	томас=NOUN,anim,masc,Name,sing,nomn
.	.=PNCT

Константин	константин=NOUN,anim,masc,Name,sing,nomn
Сонин	сонин=NOUN,anim,masc,Sgtm,Surn,sing,nomn
,	,=PNCT
обозреватель	обозреватель=NOUN,anim,masc,sing,nomn
«	«=UNKN
Ведомостей	ведомость=NOUN,inan,femn,plur,gent
»	»=UNKN
,	,=PNCT
метко	метко=ADVB
высказался	высказался=VERB,perf,intr,masc,sing,past,indc
в	в=PREP
своем	свой=ADJF,Apro,masc,sing,loct
ЖЖ	жж=UNKN
на	на=PREP
эту	этот=ADJF,Apro,femn,sing,accs
тему	тема=NOUN,inan,femn,sing,accs
:	:=PNCT

По	по=PREP
конкурсу	конкурс=NOUN,inan,masc,sing,datv
.	.=PNCT

Константин	константин=NOUN,anim,masc,Name,sing,nomn
Сонин	сонин=NOUN,anim,masc,Sgtm,Surn,sing,nomn
предлагает	предлагаю=VERB,impf,tran,sing,3per,pres,indc
так	так=ADVB,Dmns
решить	решить=INFN,perf,tran
судьбу	судьба=NOUN,inan,femn,sing,accs
АвтоВАЗа	автоваз=NOUN,inan,masc,Orgn,sing,gent
:	:=PNCT

1	1=UNKN
)	)=PNCT
денег	деньги=NOUN,inan,GNdr,Pltm,plur,gent
АвтоВАЗу	автоваз=NOUN,inan,masc,Orgn,sing,datv
не	не=PRCL
давать	давать=INFN,impf,tran
;	;=PNCT

Повсюду	повсюду=ADVB
сидят	сижу=VERB,impf,intr,plur,3per,pres,indc
мающиеся	мающийся=PRTF,impf,intr,pres,actv,plur,nomn
охранники	охранник=NOUN,anim,masc,plur,nomn
,	,=PNCT
практически	практически=ADVB
везде	везде=ADVB
действует	действую=VERB,impf,intr,sing,3per,pres,indc
пропускная	пропускной=ADJF,femn,sing,nomn
система	система=NOUN,inan,femn,sing,nomn
.	.=PNCT

120	120=UNKN
тысяч	тысяча=NOUN,inan,femn,plur,gent
за	за=PREP
фотографию	фотография=NOUN,inan,femn,sing,accs

Правозащитники	правозащитник=NOUN,anim,masc,plur,nomn
убеждены	убеждён=PRTS,perf,past,pssv,plur
:	:=PNCT
обвинять	обвинять=INFN,impf,tran
Наталью	наталья=NOUN,anim,femn,Name,sing,accs
нельзя	нельзя=PRED,pres
.	.=PNCT

Защита	защита=NOUN,inan,femn,sing,nomn
эту	этот=ADJF,Apro,femn,sing,accs
версию	версия=NOUN,inan,femn,sing,accs
опровергает	опровергаю=VERB,impf,tran,sing,3per,pres,indc
.	.=PNCT

Встреча	встреча=NOUN,inan,femn,sing,nomn
навсегда	навсегда=ADVB

Вторая	второй=ADJF,Anum,femn,sing,nomn
с	с=PREP
трудом	труд=NOUN,inan,masc,sing,ablt
решаемая	решаемый=PRTF,impf,tran,pres,pssv,femn,sing,nomn
проблема	проблема=NOUN,inan,femn,sing,nomn
—	—=UNKN
монетизация	монетизация=UNKN
.	.=PNCT

Петербургская	петербургский=ADJF,Geox,femn,sing,nomn
фонологическая	фонологический=ADJF,femn,sing,nomn
школа	школа=NOUN,inan,femn,sing,nomn

История	история=NOUN,inan,femn,sing,nomn

Фонематическая	фонематический=ADJF,femn,sing,nomn
транскрипция	транскрипция=NOUN,inan,femn,sing,nomn

Позиция	позиция=NOUN,inan,femn,sing,nomn
Л	л=UNKN
.	.=PNCT
В	в=PREP
.	.=PNCT
Щербы	щербы=UNKN

Литература	литература=NOUN,inan,femn,sing,nomn

Если	если=CONJ
прочитают	прочитал=VERB,perf,tran,plur,3per,futr,indc
.	.=PNCT

Далее	далее=ADVB
.	.=PNCT

Не	не=PRCL
рисковать	рисковать=INFN,impf,intr
.	.=PNCT

Не	не=PRCL
высовываться	высовываться=INFN,impf,intr
.	.=PNCT

Биография	биография=NOUN,inan,femn,sing,nomn

«	«=UNKN
Очень	очень=ADVB
сдержанна	сдержан=ADJS,Qual,femn,sing
.	.=PNCT

Другая	другой=ADJF,Apro,femn,sing,nomn
»	»=UNKN
.	.=PNCT

Доктор	доктор=NOUN,anim,masc,sing,nomn
Грунберг	грунберг=UNKN
.	.=PNCT

«	«=UNKN
Убери	убрал=VERB,perf,tran,sing,impr,excl
!	!=PNCT

Старая	старый=ADJF,Qual,femn,sing,nomn
императрица	императрица=NOUN,anim,femn,sing,nomn
была	есть=VERB,impf,intr,femn,sing,past,indc
непреклонна	непреклонен=ADJS,Qual,femn,sing
:	:=PNCT

Больная	больной=ADJF,Subx,Qual,femn,sing,nomn
не	не=PRCL
проявила	проявил=VERB,perf,tran,femn,sing,past,indc
интереса	интерес=NOUN,inan,masc,sing,gent
к	к=PREP
этим	этот=ADJF,Apro,plur,datv
фотографиям	фотография=NOUN,inan,femn,plur,datv
.	.=PNCT

Пьер	пьер=NOUN,anim,masc,Name,sing,nomn
Жильяр	жильяр=UNKN

1927	1927=UNKN
г	г=UNKN
.	.=PNCT
Герцог	герцог=NOUN,anim,masc,sing,nomn
Лёйхтенбергский	лёйхтенбергский=UNKN

11	11=UNKN
%	%=UNKN

11	11=UNKN
%	%=UNKN
.	.=PNCT

11	11=UNKN
%	%=UNKN
Борис	борис=NOUN,anim,masc,Name,sing,nomn
Николаевич	николаевич=NOUN,anim,masc,Patr,sing,nomn
Ельцин	ельцин=NOUN,anim,masc,Sgtm,Surn,sing,nomn
.	.=PNCT

19	19=UNKN
%	%=UNKN
Иван	иван=NOUN,anim,masc,Name,sing,nomn
Андреевич	андреевич=NOUN,anim,masc,Patr,sing,nomn
Ургант	ургант=UNKN
.	.=PNCT

27	27=UNKN
%	%=UNKN
Ксения	ксения=NOUN,anim,femn,Name,sing,nomn
Анатольевна	анатолиевна=NOUN,anim,femn,Patr,sing,nomn
Собчак	собчак=NOUN,anim,masc,sing,nomn
.	.=PNCT

39	39=UNKN
%	%=UNKN
Майор	майор=NOUN,anim,masc,sing,nomn
Глухарёв	глухарев=NOUN,anim,masc,Sgtm,Surn,sing,nomn
.	.=PNCT

11	11=UNKN
%	%=UNKN
.	.=PNCT

Он	он=NPRO,masc,3per,sing,nomn
был	есть=VERB,impf,intr,masc,sing,past,indc
неправ	неправ=ADJS,masc,sing
!	!=PNCT

Я	я=NPRO,1per,sing,nomn
расплакался	расплакался=VERB,perf,intr,masc,sing,past,indc
.	.=PNCT

Ерунда	ерунда=NOUN,inan,femn,Sgtm,sing,nomn
.	.=PNCT

Я	я=NPRO,1per,sing,nomn
разрыдался	разрыдался=VERB,perf,intr,masc,sing,past,indc
.	.=PNCT

Вру	вру=VERB,impf,tran,sing,1per,pres,indc
.	.=PNCT

Хотя	хотя=CONJ
я	я=NPRO,1per,sing,nomn
знаю	знаю=VERB,impf,tran,sing,1per,pres,indc
,	,=PNCT
—	—=UNKN
Вы	вы=NPRO,2per,plur,nomn
бы	бы=PRCL
не	не=PRCL
одобрили	одобрил=VERB,perf,tran,plur,past,indc
.	.=PNCT

12	12=UNKN
февраля	февраль=NOUN,inan,masc,sing,gent
.	.=PNCT

Подробную	подробный=ADJF,femn,sing,accs
программу	программа=NOUN,inan,femn,sing,accs
телетрансляций	телетрансляция=NOUN,inan,femn,plur,gent
олимпийских	олимпийский=ADJF,plur,gent
соревнований	соревнование=NOUN,inan,neut,plur,gent
вы	вы=NPRO,2per,plur,nomn
можете	могу=VERB,impf,intr,plur,2per,pres,indc
просмотреть	просмотреть=INFN,perf,tran
здесь	здесь=ADVB,Prdx
.	.=PNCT

Сейчас	сейчас=ADVB
.	.=PNCT

«	«=UNKN
15	15=UNKN
—	—=UNKN
58	58=UNKN
»	»=UNKN
.	.=PNCT
Химкинская	химкинский=ADJF,femn,sing,nomn
история	история=NOUN,inan,femn,sing,nomn

Наоборот	наоборот=ADVB
,	,=PNCT
оно	оно=NPRO,neut,3per,sing,nomn
практически	практически=ADVB
обнулилось	обнулилось=UNKN
.	.=PNCT

Сразу	сразу=ADVB
чувствуется	чувствуюсь=VERB,impf,intr,sing,3per,pres,indc
,	,=PNCT
что	что=CONJ
советская	советский=ADJF,femn,sing,nomn
школа	школа=NOUN,inan,femn,sing,nomn
в	в=PREP
МИДе	мид=NOUN,inan,masc,Orgn,sing,loct
непобедима	непобедим=ADJS,Qual,femn,sing
.	.=PNCT

Борьбы	борьба=NOUN,inan,femn,Sgtm,sing,gent
не	не=PRCL
получилось	получился=VERB,perf,intr,neut,sing,past,indc
.	.=PNCT

Зато	зато=CONJ
получилось	получился=VERB,perf,intr,neut,sing,past,indc
показаться	показаться=INFN,perf,intr
телезрителям	телезритель=NOUN,anim,masc,plur,datv
перед	перед=PREP
финалом	финал=NOUN,inan,masc,sing,ablt
16	16=UNKN
мая	май=NOUN,inan,masc,Sgtm,sing,gent
.	.=PNCT

Отпели	отпел=VERB,perf,tran,plur,past,indc
без	без=PREP
ошибок	ошибка=NOUN,inan,femn,plur,gent
,	,=PNCT
не	не=PRCL
сбились	сбился=VERB,perf,intr,plur,past,indc
в	в=PREP
движениях	движение=NOUN,inan,neut,plur,loct
.	.=PNCT

Кто	кто=NPRO,masc,sing,nomn
за	за=PREP
кем	кто=NPRO,masc,sing,ablt
?	?=PNCT

1	1=UNKN
.	.=PNCT
Литва	литва=NOUN,inan,femn,Sgtm,Geox,sing,nomn
.	.=PNCT

4	4=UNKN
.	.=PNCT
Швеция	швеция=NOUN,inan,femn,Sgtm,Geox,sing,nomn
.	.=PNCT

5	5=UNKN
.	.=PNCT
Хорватия	хорватия=NOUN,inan,femn,Sgtm,Geox,sing,nomn
.	.=PNCT

6	6=UNKN
.	.=PNCT
Португалия	португалия=NOUN,inan,femn,Sgtm,Geox,sing,nomn
.	.=PNCT

7	7=UNKN
.	.=PNCT
Исландия	исландия=NOUN,inan,femn,Sgtm,Geox,sing,nomn
.	.=PNCT

8	8=UNKN
.	.=PNCT
Греция	греция=NOUN,inan,femn,Sgtm,Geox,sing,nomn
.	.=PNCT

9	9=UNKN
.	.=PNCT
Армения	армения=NOUN,inan,femn,Sgtm,Geox,sing,nomn
.	.=PNCT

10	10=UNKN
.	.=PNCT
Россия	россия=NOUN,inan,femn,Sgtm,Geox,sing,nomn
.	.=PNCT

13	13=UNKN
.	.=PNCT
Молдова	молдова=NOUN,inan,femn,Sgtm,Geox,sing,nomn
.	.=PNCT

14	14=UNKN
.	.=PNCT
Мальта	мальта=NOUN,inan,femn,Sgtm,Geox,sing,nomn
.	.=PNCT

15	15=UNKN
.	.=PNCT
Эстония	эстония=NOUN,inan,femn,Sgtm,Geox,sing,nomn
.	.=PNCT

18	18=UNKN
.	.=PNCT
Турция	турция=NOUN,inan,femn,Sgtm,Geox,sing,nomn
.	.=PNCT

19	19=UNKN
.	.=PNCT
Албания	албания=NOUN,inan,femn,Sgtm,Geox,sing,nomn
.	.=PNCT

20	20=UNKN
.	.=PNCT
Норвегия	норвегия=NOUN,inan,femn,Sgtm,Geox,sing,nomn
.	.=PNCT

21	21=UNKN
.	.=PNCT
Украина	украина=NOUN,inan,femn,Sgtm,Geox,sing,nomn
.	.=PNCT

22	22=UNKN
.	.=PNCT
Румыния	румыния=NOUN,inan,femn,Sgtm,Geox,sing,nomn
.	.=PNCT

23	23=UNKN
.	.=PNCT
Великобритания	великобритания=NOUN,inan,femn,Sgtm,Geox,sing,nomn
.	.=PNCT

24	24=UNKN
.	.=PNCT
Финляндия	финляндия=NOUN,inan,femn,Sgtm,Geox,sing,nomn
.	.=PNCT

25	25=UNKN
.	.=PNCT
Испания	испания=NOUN,inan,femn,Sgtm,Geox,sing,nomn

4	4=UNKN
.	.=PNCT
Олдскул	олдскул=UNKN
рулит	рулю=VERB,impf,intr,sing,3per,pres,indc
рок-н-роллом	рок-н-ролл=NOUN,inan,masc,sing,ablt

5	5=UNKN
.	.=PNCT
Реюнионы	реюнионы=UNKN

The	The=UNKN
Verve	Verve=UNKN
,	,=PNCT
The	The=UNKN
Stooges	Stooges=UNKN
,	,=PNCT
MC5	MC5=UNKN
,	,=PNCT
Boyzone	Boyzone=UNKN
…	…=UNKN

Queen	Queen=UNKN
прокатился	прокатился=VERB,perf,intr,masc,sing,past,indc
с	с=PREP
Paul	Paul=UNKN
Rodgers	Rodgers=UNKN
в	в=PREP
качестве	качество=NOUN,inan,neut,sing,loct
эрзац-Меркьюри	эрзац-меркьюри=UNKN
.	.=PNCT

12	12=UNKN
.	.=PNCT
DRM	DRM=UNKN
is	is=UNKN
Dead	Dead=UNKN

Подсознательно	подсознателен=ADJS,neut,sing
.	.=PNCT

Общая	общий=ADJF,femn,sing,nomn
семантика	семантика=NOUN,inan,femn,sing,nomn
Коржибского	коржибского=UNKN
.	.=PNCT

Ктулху	ктулху=UNKN
.	.=PNCT

Центральная	центральный=ADJF,femn,sing,nomn
катма	катма=UNKN
дискордианства	дискордианства=UNKN
гласит	глашу=VERB,impf,tran,sing,3per,pres,indc
:	:=PNCT

Иллюминатус	иллюминатус=UNKN
!	!=PNCT

Дискредитация	дискредитация=NOUN,inan,femn,sing,nomn

He-man	He-man=UNKN
,	,=PNCT
Папа	папа=NOUN,anim,masc,sing,nomn
Хэм	хэм=UNKN
.	.=PNCT

Back	Back=UNKN
in	in=UNKN
the	the=UNKN
USSR	USSR=UNKN

Он	он=NPRO,masc,3per,sing,nomn
в	в=PREP
свитерке	свитерок=NOUN,inan,masc,sing,loct
,	,=PNCT
Он	он=NPRO,masc,3per,sing,nomn
в	в=PREP
свитерке	свитерок=NOUN,inan,masc,sing,loct
по	по=PREP
всем	весь=ADJF,Apro,plur,datv
квартирам	квартира=NOUN,inan,femn,plur,datv
Висел	вишу=VERB,impf,intr,masc,sing,past,indc
,	,=PNCT
с	с=PREP
подтекстом	подтекст=NOUN,inan,masc,sing,ablt
в	в=PREP
кулаке	кулак=NOUN,inan,masc,sing,loct
.	.=PNCT

Прощай	прощаю=VERB,impf,tran,sing,impr,excl
!	!=PNCT

Обманчивая	обманчивый=ADJF,Qual,femn,sing,nomn
простота	простота=NOUN,inan,femn,Sgtm,sing,nomn

Итальянцы	итальянец=NOUN,anim,masc,plur,nomn
выдохлись	выдохся=VERB,perf,intr,plur,past,indc
.	.=PNCT

2001-й	2001-й=UNKN
.	.=PNCT

Цитата	цитата=NOUN,inan,femn,sing,nomn
:	:=PNCT

2002-й	2002-й=UNKN
.	.=PNCT

Цитата	цитата=NOUN,inan,femn,sing,nomn
:	:=PNCT

Если	если=CONJ
общая	общий=ADJF,femn,sing,nomn
нация	нация=NOUN,inan,femn,sing,nomn
—	—=UNKN
не	не=PRCL
обижайся	обижаюсь=VERB,impf,intr,sing,impr,excl
.	.=PNCT

Цитата	цитата=NOUN,inan,femn,sing,nomn
:	:=PNCT

2003-й	2003-й=UNKN
.	.=PNCT

2004-й	2004-й=UNKN
.	.=PNCT

Цитата	цитата=NOUN,inan,femn,sing,nomn
:	:=PNCT

2005-й	2005-й=UNKN
.	.=PNCT

Цитата	цитата=NOUN,inan,femn,sing,nomn
:	:=PNCT

2006-й	2006-й=UNKN
.	.=PNCT

С	с=PREP
посвящением	посвящение=NOUN,inan,neut,sing,ablt
«	«=UNKN
Григорию	григорий=NOUN,anim,masc,Name,sing,datv
Лукьяновичу	лукьянович=NOUN,anim,masc,Patr,sing,datv
Скуратову-Вельскому	скуратову-вельскому=UNKN
,	,=PNCT
по	по=PREP
прозвищу	прозвище=NOUN,inan,neut,sing,datv
Малюта	малюта=NOUN,anim,masc,Name,sing,nomn
»	»=UNKN
.	.=PNCT

Цитата	цитата=NOUN,inan,femn,sing,nomn
:	:=PNCT

2007-й	2007-й=UNKN
.	.=PNCT

Цитата	цитата=NOUN,inan,femn,sing,nomn
:	:=PNCT

2008-й	2008-й=UNKN
.	.=PNCT

Цитата	цитата=NOUN,inan,femn,sing,nomn
:	:=PNCT

Новобранцы	новобранец=NOUN,anim,masc,plur,nomn
счастливы	счастлив=ADJS,Qual,plur
!	!=PNCT

Трясут	трясу=VERB,impf,tran,plur,3per,pres,indc
автоматами	автомат=NOUN,inan,masc,plur,ablt
.	.=PNCT

Где	где=ADVB,Ques
война	война=NOUN,inan,femn,sing,nomn
?	?=PNCT
..	..=PNCT

Командиры	командир=NOUN,anim,masc,plur,nomn
,	,=PNCT
ау-ууу	ау-ууу=UNKN
!	!=PNCT
..	..=PNCT

2009-й	2009-й=UNKN
.	.=PNCT

Цитата	цитата=NOUN,inan,femn,sing,nomn
:	:=PNCT

Цитата	цитата=NOUN,inan,femn,sing,nomn
:	:=PNCT

2010-й	2010-й=UNKN
.	.=PNCT

Сама	сам=ADJF,Apro,femn,sing,nomn
идея	идея=NOUN,inan,femn,sing,nomn
замечательная	замечательный=ADJF,Qual,femn,sing,nomn
.	.=PNCT

Цитата	цитата=NOUN,inan,femn,sing,nomn
:	:=PNCT

2	2=UNKN
+	+=UNKN
3	3=UNKN
=	==UNKN
6	6=UNKN

"	"=PNCT
Яффская	яффская=UNKN
"	"=PNCT
симфония	симфония=NOUN,inan,femn,sing,nomn
написана	написан=PRTS,perf,past,pssv,femn,sing
в	в=PREP
2001	2001=UNKN
-	-=PNCT
2002	2002=UNKN
гг	год=NOUN,inan,masc,Fixd,Abbr
.	.=PNCT

Не	не=PRCL
успели	успел=VERB,perf,intr,plur,past,indc
дотратить	дотратить=UNKN

Отдельные	отдельный=ADJF,Qual,plur,nomn
пазлы	пазлы=UNKN
посвящены	посвящён=PRTS,perf,past,pssv,plur
людям	человек=NOUN,anim,masc,plur,datv
,	,=PNCT
с	с=PREP
кем	кто=NPRO,masc,sing,ablt
автору	автор=NOUN,anim,masc,sing,datv
выпало	выпал=VERB,perf,intr,neut,sing,past,indc
приятельствовать	приятельствовать=INFN,impf,intr
,	,=PNCT
дружить	дружить=INFN,impf,intr
,	,=PNCT
вместе	вместе=ADVB
учиться	учиться=INFN,impf,intr
или	или=CONJ
вместе	вместе=ADVB
работать	работать=INFN,impf,intr
.	.=PNCT

251	251=UNKN
монополист	монополист=NOUN,anim,masc,sing,nomn

Всю	весь=ADJF,Apro,femn,sing,accs
компанию	компания=NOUN,inan,femn,sing,accs
банкротить	банкротить=UNKN
?	?=PNCT

Ржунимагу	ржунимагу=UNKN
.	.=PNCT

4	4=UNKN
.	.=PNCT
Танцевать	танцевать=INFN,impf,tran
до	до=PREP
упаду	упад=NOUN,inan,masc,sing,datv

9	9=UNKN
.	.=PNCT
Пройти	пройти=INFN,perf,tran
босиком	босиком=ADVB
по	по=PREP
углям	уголь=NOUN,inan,masc,plur,datv

15	15=UNKN
.	.=PNCT
Заняться	заняться=INFN,perf,intr
йогой	йога=NOUN,inan,femn,sing,ablt

17	17=UNKN
.	.=PNCT
Дышать	дышать=INFN,impf,intr

21	21=UNKN
.	.=PNCT
Полюбить	полюбить=INFN,perf,tran

24	24=UNKN
.	.=PNCT
Заняться	заняться=INFN,perf,intr
сексом	секс=NOUN,inan,masc,sing,ablt

Прирастать	прирастать=INFN,impf,intr
Сибирью	сибирь=NOUN,inan,femn,Sgtm,Geox,sing,ablt
—	—=UNKN
мечта	мечта=NOUN,inan,femn,sing,nomn
давняя	давний=ADJF,Qual,femn,sing,nomn
.	.=PNCT

В	в=PREP
Москву	москва=NOUN,inan,femn,Sgtm,Geox,sing,accs
,	,=PNCT
в	в=PREP
Москву	москва=NOUN,inan,femn,Sgtm,Geox,sing,accs
,	,=PNCT
в	в=PREP
Москву	москва=NOUN,inan,femn,Sgtm,Geox,sing,accs
…	…=UNKN

282-я	282-я=UNKN
за	за=PREP
френдленту	френдленту=UNKN

Вертов	вертов=UNKN
отвечал	отвечаю=VERB,impf,intr,masc,sing,past,indc
:	:=PNCT

Надолго	надолго=ADVB
разругался	разругался=VERB,perf,intr,masc,sing,past,indc
с	с=PREP
братом	брат=NOUN,anim,masc,sing,ablt
,	,=PNCT
который	который=ADJF,Apro,masc,sing,nomn
не	не=PRCL
стал	стал=VERB,perf,intr,masc,sing,past,indc
опровергать	опровергать=INFN,impf,tran
статью	статья=NOUN,inan,femn,sing,accs
Осипа	осип=NOUN,anim,masc,Name,sing,gent
Брика	брика=UNKN
,	,=PNCT
где	где=ADVB,Ques
утверждалось	утверждаюсь=VERB,impf,intr,neut,sing,past,indc
,	,=PNCT
что	что=CONJ
Михаил	михаил=NOUN,anim,masc,Name,sing,nomn
Кауфман	кауфман=UNKN
снимал	снимаю=VERB,impf,tran,masc,sing,past,indc
без	без=PREP
указаний	указание=NOUN,inan,neut,plur,gent
Вертова	вертова=UNKN
,	,=PNCT
полагаясь	полагаясь=GRND,impf,intr,pres
на	на=PREP
собственную	собственный=ADJF,femn,sing,accs
интуицию	интуиция=NOUN,inan,femn,sing,accs
.	.=PNCT

Вертов	вертов=UNKN
назвал	назвал=VERB,perf,tran,masc,sing,past,indc
Кауфмана	кауфмана=UNKN
предателем	предатель=NOUN,anim,masc,sing,ablt
.	.=PNCT

Группа	группа=NOUN,inan,femn,sing,nomn
киноков	киноков=UNKN
распалась	распался=VERB,perf,intr,femn,sing,past,indc
.	.=PNCT

Мистер	мистер=NOUN,anim,masc,sing,nomn
Дзига	дзига=UNKN
Вертов	вертов=UNKN
—	—=UNKN
музыкант	музыкант=NOUN,anim,masc,sing,nomn
.	.=PNCT

«	«=UNKN
Режиссёр	режиссёр=NOUN,anim,masc,sing,nomn
Вертов	вертов=UNKN
насаждал	насаждаю=VERB,impf,tran,masc,sing,past,indc
в	в=PREP
кинохронике	кинохроника=NOUN,inan,femn,sing,loct
формалистическую	формалистический=ADJF,femn,sing,accs
,	,=PNCT
эстетствующую	эстетствующий=PRTF,impf,intr,pres,actv,femn,sing,accs
мелкобуржуазную	мелкобуржуазный=ADJF,femn,sing,accs
тенденцию	тенденция=NOUN,inan,femn,sing,accs
.	.=PNCT

На	на=PREP
экране	экран=NOUN,inan,masc,sing,loct
—	—=UNKN
баю-бай	баю-бай=INTJ
.	.=PNCT

Просчитался	просчитался=VERB,perf,intr,masc,sing,past,indc
,	,=PNCT
баю-бай	баю-бай=INTJ
.	.=PNCT

Тогда	тогда=ADVB,Dmns
она	она=NPRO,femn,3per,sing,nomn
продолжила	продолжил=VERB,perf,tran,femn,sing,past,indc
.	.=PNCT

Ура	ура=INTJ
?	?=PNCT

—	—=UNKN
Здравствуйте	здравствую=VERB,impf,intr,plur,impr,excl
,	,=PNCT
хочу	хочу=VERB,impf,tran,sing,1per,pres,indc
квартиру	квартира=NOUN,inan,femn,sing,accs
купить	купить=INFN,perf,tran
.	.=PNCT

—	—=UNKN
Здравствуйте	здравствую=VERB,impf,intr,plur,impr,excl
.	.=PNCT

Вам	вы=NPRO,2per,plur,datv
какую	какой=ADJF,Apro,femn,sing,accs
?	?=PNCT

Рублей	рубль=NOUN,inan,masc,plur,gent
.	.=PNCT

•	•=UNKN
система	система=NOUN,inan,femn,sing,nomn
видеонаблюдения	видеонаблюдения=UNKN
«	«=UNKN
Интерком	интерком=UNKN
»	»=UNKN
;	;=PNCT

•	•=UNKN
спутниковая	спутниковый=ADJF,femn,sing,nomn
антенна	антенна=NOUN,inan,femn,sing,nomn
;	;=PNCT

•	•=UNKN
телефонная	телефонный=ADJF,Qual,femn,sing,nomn
розетка	розетка=NOUN,inan,femn,sing,nomn
;	;=PNCT

Кухня	кухня=NOUN,inan,femn,sing,nomn

Первая	первый=ADJF,Anum,femn,sing,nomn
тройка	тройка=NOUN,inan,femn,sing,nomn
—	—=UNKN
без	без=PREP
изменений	изменение=NOUN,inan,neut,plur,gent
.	.=PNCT

История	история=NOUN,inan,femn,sing,nomn
создания	создание=NOUN,ANim,neut,sing,gent

Организационно-штатная	организационно-штатная=UNKN
структура	структура=NOUN,inan,femn,sing,nomn

Оценка	оценка=NOUN,inan,femn,sing,nomn
проекта	проект=NOUN,inan,masc,sing,gent

Где	где=ADVB,Ques
можно	можно=PRED,pres
увидеть	увидеть=INFN,perf,tran

Литература	литература=NOUN,inan,femn,sing,nomn

δ	δ=UNKN
(	(=PNCT
